artist_mbid,date_uts,date_#text,artist,album,song,week
,1606999042,"03 Dec 2020, 12:37",Charles Webster,Decision Time,Burning,2657
c387e194-a2f1-4822-b688-26d76d18db80,1606938807,"02 Dec 2020, 19:53",Andrew Ashong,Sankofa Season,Low Ceilings,2657
9cea062d-d476-447f-98b4-e67e14bfd1e4,1606938604,"02 Dec 2020, 19:50",Oneohtrix Point Never,Magic Oneohtrix Point Never,Auto & Allo,2657
6e9ac29b-798c-4af7-8d9e-55cdc72a999c,1606938246,"02 Dec 2020, 19:44",Einstürzende Neubauten,Halber Mensch,Z.N.S.,2657
,1606937936,"02 Dec 2020, 19:38",Tsha,Flowers,Demba,2657
9cea062d-d476-447f-98b4-e67e14bfd1e4,1606937629,"02 Dec 2020, 19:33",Oneohtrix Point Never,R Plus Seven,Chrome Country,2657
c387e194-a2f1-4822-b688-26d76d18db80,1606937285,"02 Dec 2020, 19:28",Andrew Ashong,Sankofa Season,Eye Mo K,2657
bbdc77fc-1ef2-4a91-b829-0f7047c62104,1606937122,"02 Dec 2020, 19:25",Bonny Doon,Longwave,Walkdown,2657
bbdc77fc-1ef2-4a91-b829-0f7047c62104,1606936847,"02 Dec 2020, 19:20",Bonny Doon,Longwave,Part of Me,2657
bbdc77fc-1ef2-4a91-b829-0f7047c62104,1606936647,"02 Dec 2020, 19:17",Bonny Doon,Longwave,Try To Be,2657
bbdc77fc-1ef2-4a91-b829-0f7047c62104,1606936317,"02 Dec 2020, 19:11",Bonny Doon,Longwave,Saw a Light,2657
bbdc77fc-1ef2-4a91-b829-0f7047c62104,1606935964,"02 Dec 2020, 19:06",Bonny Doon,Longwave,Saved,2657
bbdc77fc-1ef2-4a91-b829-0f7047c62104,1606935835,"02 Dec 2020, 19:03",Bonny Doon,Longwave,Where Do You Go?,2657
bbdc77fc-1ef2-4a91-b829-0f7047c62104,1606935682,"02 Dec 2020, 19:01",Bonny Doon,Longwave,Take Me Away,2657
bbdc77fc-1ef2-4a91-b829-0f7047c62104,1606935351,"02 Dec 2020, 18:55",Bonny Doon,Longwave,I Am Here (I Am Alive),2657
bbdc77fc-1ef2-4a91-b829-0f7047c62104,1606935151,"02 Dec 2020, 18:52",Bonny Doon,Longwave,A Lotta Things,2657
bbdc77fc-1ef2-4a91-b829-0f7047c62104,1606934821,"02 Dec 2020, 18:47",Bonny Doon,Longwave,Long Wave,2657
6e9ac29b-798c-4af7-8d9e-55cdc72a999c,1606933132,"02 Dec 2020, 18:18",Einstürzende Neubauten,Perpetuum Mobile,Grundstück,2657
6e9ac29b-798c-4af7-8d9e-55cdc72a999c,1606932815,"02 Dec 2020, 18:13",Einstürzende Neubauten,Perpetuum Mobile,Dead Friends (Around the Corner),2657
6e9ac29b-798c-4af7-8d9e-55cdc72a999c,1606932569,"02 Dec 2020, 18:09",Einstürzende Neubauten,Perpetuum Mobile,Der Weg ins Freie,2657
6e9ac29b-798c-4af7-8d9e-55cdc72a999c,1606931787,"02 Dec 2020, 17:56",Einstürzende Neubauten,Perpetuum Mobile,Der Weg ins Freie,2657
6e9ac29b-798c-4af7-8d9e-55cdc72a999c,1606931506,"02 Dec 2020, 17:51",Einstürzende Neubauten,Perpetuum Mobile,Youme & Meyou,2657
6e9ac29b-798c-4af7-8d9e-55cdc72a999c,1606931256,"02 Dec 2020, 17:47",Einstürzende Neubauten,Perpetuum Mobile,Paradiesseits,2657
6e9ac29b-798c-4af7-8d9e-55cdc72a999c,1606931030,"02 Dec 2020, 17:43",Einstürzende Neubauten,Perpetuum Mobile,Ozean und Brandung,2657
6e9ac29b-798c-4af7-8d9e-55cdc72a999c,1606930474,"02 Dec 2020, 17:34",Einstürzende Neubauten,Perpetuum Mobile,Ein seltener Vogel,2657
6e9ac29b-798c-4af7-8d9e-55cdc72a999c,1606930233,"02 Dec 2020, 17:30",Einstürzende Neubauten,Perpetuum Mobile,Boreas,2657
6e9ac29b-798c-4af7-8d9e-55cdc72a999c,1606929858,"02 Dec 2020, 17:24",Einstürzende Neubauten,Perpetuum Mobile,Selbstportrait mit Kater,2657
6e9ac29b-798c-4af7-8d9e-55cdc72a999c,1606929484,"02 Dec 2020, 17:18",Einstürzende Neubauten,Perpetuum Mobile,Ich gehe jetzt,2657
9a103ffa-ac08-47e2-b403-83ca7de83ef4,1606926770,"02 Dec 2020, 16:32",Canalón de Timbiquí,De Mar y Río,La Posada,2657
6afd770e-8d2a-4243-b1fc-d9c22f11e428,1606924849,"02 Dec 2020, 16:00",Norma Tanega,Walkin' My Cat Named Dog,A Street That Rhymes at 6am,2657
,1606924668,"02 Dec 2020, 15:57",Fontaines D.C.,Dogrel,Roy's Tune,2657
f1c5239b-0c9c-4453-8620-168df0b7f636,1606924407,"02 Dec 2020, 15:53",Purple Mountains,Purple Mountains,All My Happiness Is Gone,2657
25e7697d-24cb-4cba-904e-a90b53cc3004,1606924219,"02 Dec 2020, 15:50",ILE,Almadura,Ñe Ñe Ñé,2657
